/usr/bin/ld: skipping incompatible /usr/lib/libpthread.so when searching for -lpthread
/usr/bin/ld: skipping incompatible /usr/lib/libc.so when searching for -lc
srun: Warning: can't honor --ntasks-per-node set to 7 which doesn't match the requested tasks 25 with the number of requested nodes 4. Ignoring --ntasks-per-node.
Dense Mat. Transpose, procs: 25
Matrix: 0, Avg. Time: 0.000488 seconds
Matrix: 1, Avg. Time: 0.000150 seconds
Matrix: 2, Avg. Time: 0.000142 seconds
Matrix: 3, Avg. Time: 0.000138 seconds
Matrix: 4, Avg. Time: 0.000136 seconds
Matrix: 5, Avg. Time: 0.000126 seconds
Matrix: 6, Avg. Time: 0.000118 seconds
Matrix: 7, Avg. Time: 0.000118 seconds
Matrix: 8, Avg. Time: 0.000118 seconds
Matrix: 9, Avg. Time: 0.000119 seconds
Matrix: 10, Avg. Time: 0.390398 seconds
Matrix: 11, Avg. Time: 0.407944 seconds
Matrix: 12, Avg. Time: 0.400423 seconds
Matrix: 13, Avg. Time: 0.401208 seconds
Matrix: 14, Avg. Time: 0.401851 seconds
Matrix: 15, Avg. Time: 0.398789 seconds
Matrix: 16, Avg. Time: 0.396257 seconds
Matrix: 17, Avg. Time: 0.403930 seconds
Matrix: 18, Avg. Time: 0.402377 seconds
