/usr/bin/ld: skipping incompatible /usr/lib/libpthread.so when searching for -lpthread
/usr/bin/ld: skipping incompatible /usr/lib/libc.so when searching for -lc
Dense Mat. Transpose, procs: 5
Matrix: 0, Avg. Time: 0.012707 seconds
Matrix: 1, Avg. Time: 0.000345 seconds
Matrix: 2, Avg. Time: 0.000345 seconds
Matrix: 3, Avg. Time: 0.000344 seconds
Matrix: 4, Avg. Time: 0.000345 seconds
Matrix: 5, Avg. Time: 0.000344 seconds
Matrix: 6, Avg. Time: 0.000344 seconds
Matrix: 7, Avg. Time: 0.000344 seconds
Matrix: 8, Avg. Time: 0.000344 seconds
Matrix: 9, Avg. Time: 0.000344 seconds
Matrix: 10, Avg. Time: 0.054479 seconds
Matrix: 11, Avg. Time: 0.054467 seconds
Matrix: 12, Avg. Time: 0.054527 seconds
Matrix: 13, Avg. Time: 0.054387 seconds
Matrix: 14, Avg. Time: 0.054324 seconds
Matrix: 15, Avg. Time: 0.054372 seconds
Matrix: 16, Avg. Time: 0.054351 seconds
Matrix: 17, Avg. Time: 0.054217 seconds
Matrix: 18, Avg. Time: 0.054384 seconds
